Filename;STI;C50_dB;D50_percent;T30_s
Mo_R114_1-1_left_RIR;0,541;7,30;0,8429;0,48
Mo_R114_1-1_right_RIR;0,525;5,90;0,7956;0,49
Mo_R114_1-2_left_RIR;0,622;8,42;0,8743;0,48
Mo_R114_1-2_right_RIR;0,553;6,37;0,8125;0,48
Mo_R114_1-3_left_RIR;0,557;7,68;0,8542;0,47
Mo_R114_1-3_right_RIR;0,535;6,53;0,8181;0,48
Mo_R114_2-1_left_RIR;0,556;7,40;0,8461;0,46
Mo_R114_2-1_right_RIR;0,585;8,39;0,8736;0,47
Mo_R114_2-2_left_RIR;0,617;8,23;0,8694;0,46
Mo_R114_2-2_right_RIR;0,621;8,74;0,8820;0,47
Mo_R114_2-3_left_RIR;0,490;6,46;0,8158;0,46
Mo_R114_2-3_right_RIR;0,590;8,39;0,8735;0,47
